Client,Data_GB,Avg_Read_Ops_s,Avg_Write_Ops_s,Total_IOPS,Data_Share,IOPS_Share,Weighted_Share,Monthly_Cost
aahs,1290.24,884.711,421.3,1306.011,0.002609,0.002752,0.002609,626.12
adcs,925.04,938.011,2862.847,3800.858,0.00187,0.008008,0.00187,448.9
admin,0,0,0,0,0,0,0,0
adventhealth,4341.76,1361.328,9747.365,11108.693,0.008779,0.023405,0.008779,2106.96
akronchildrens,568.54,1253.916,242.702,1496.618,0.00115,0.003153,0.00115,275.9
alameda,289.74,1082.975,206.04,1289.015,0.000586,0.002716,0.000586,140.6
allhealth,4.86,995.294,1.652,996.946,1.00E-05,0.0021,1.00E-05,2.36
allina,2304,1160.677,1796.606,2957.283,0.004659,0.006231,0.004659,1118.08
altacorp,10.31,1004.306,6.118,1010.425,2.10E-05,0.002129,2.10E-05,5
amc,759.39,1028.774,651.404,1680.178,0.001535,0.00354,0.001535,368.51
arch,1177.6,699.867,344.116,1043.983,0.002381,0.0022,0.002381,571.46
arh,563.41,75.294,199.765,275.059,0.001139,0.00058,0.001139,273.41
asante,479.88,791.141,379.524,1170.664,0.00097,0.002466,0.00097,232.87
ascensional,644.61,1302.072,255.19,1557.262,0.001303,0.003281,0.001303,312.81
ascensionfl,1218.56,2220.348,545.775,2766.123,0.002464,0.005828,0.002464,591.34
ascensionil,2314.24,1052.373,1163.314,2215.687,0.004679,0.004668,0.004679,1123.05
ascensionin,753.58,1157.604,1282.084,2439.688,0.001524,0.00514,0.001524,365.69
ascensionks,509.19,1264.394,565.605,1829.999,0.00103,0.003856,0.00103,247.1
ascensionmd,144.64,1559.244,272.784,1832.028,0.000292,0.00386,0.000292,70.19
ascensionmi,1331.2,1603.555,2140.222,3743.776,0.002692,0.007888,0.002692,646
ascensionny,262.95,2469.208,98.536,2567.744,0.000532,0.00541,0.000532,127.6
ascensionok,350.61,1615.139,235.15,1850.29,0.000709,0.003898,0.000709,170.14
ascensiontn,949.31,1277.269,386.053,1663.322,0.001919,0.003504,0.001919,460.68
ascensiontx,1208.32,1476.604,394.987,1871.59,0.002443,0.003943,0.002443,586.37
ascensionwi,2304,1647.632,998.726,2646.358,0.004659,0.005576,0.004659,1118.08
atlanticare,416.52,1219.977,188.264,1408.242,0.000842,0.002967,0.000842,202.13
atlantichealth,91.36,556.011,655.419,1211.43,0.000185,0.002552,0.000185,44.33
aultman,12.5,25.162,27.298,52.46,2.50E-05,0.000111,2.50E-05,6.07
averahealth,306.44,962.173,780.848,1743.021,0.00062,0.003672,0.00062,148.71
balladhealth,1587.2,1763.259,667.967,2431.226,0.003209,0.005122,0.003209,770.23
baptisthealth,1976.32,1377.586,635.241,2012.827,0.003996,0.004241,0.003996,959.06
baptistmem,2396.16,816.311,1796.453,2612.764,0.004845,0.005505,0.004845,1162.8
baycare,133.07,1081.88,173.626,1255.506,0.000269,0.002645,0.000269,64.58
bayhealth,0.001,17.23,0.335,17.565,0,3.70E-05,0,0
bch,368.07,1110.557,64.033,1174.59,0.000744,0.002475,0.000744,178.62
bcm,209.76,1229.433,382.016,1611.449,0.000424,0.003395,0.000424,101.79
beauregard,30.19,1122.924,12.507,1135.431,6.10E-05,0.002392,6.10E-05,14.65
beebehealth,6.68,796.575,7.335,803.911,1.40E-05,0.001694,1.40E-05,3.24
bhsiky,2160.64,1123.533,2505.964,3629.497,0.004369,0.007647,0.004369,1048.51
billingsclinic,1986.56,902.895,482.206,1385.101,0.004017,0.002918,0.004017,964.03
blessinghealth,43.89,952.108,17.991,970.098,8.90E-05,0.002044,8.90E-05,21.3
bmc,2365.44,807.513,693.699,1501.212,0.004783,0.003163,0.004783,1147.89
bozemanhealth,223.57,920.958,98.756,1019.714,0.000452,0.002148,0.000452,108.49
brhc,34.75,24.313,24.593,48.906,7.00E-05,0.000103,7.00E-05,16.86
bronxcare,90.19,944.492,105.965,1050.457,0.000182,0.002213,0.000182,43.77
bryanhealth,32.28,53.695,33.882,87.577,6.50E-05,0.000185,6.50E-05,15.66
bsmhealth,2703.36,1645.762,5049.053,6694.814,0.005466,0.014105,0.005466,1311.88
bswhealth,4976.64,690.914,2872.572,3563.486,0.010063,0.007508,0.010063,2415.05
carene,46.31,1504.22,33.395,1537.616,9.40E-05,0.00324,9.40E-05,22.47
catholichealth,1095.68,356.697,989.861,1346.558,0.002215,0.002837,0.002215,531.71
cchcs,2027.52,1190.58,490.608,1681.188,0.0041,0.003542,0.0041,983.91
cchcs_production,31.85,0,0,0,6.40E-05,0,6.40E-05,15.46
cchmc,2129.92,682.675,556.942,1239.616,0.004307,0.002612,0.004307,1033.6
cedarsinai,2170.88,1264.624,1235.469,2500.093,0.004389,0.005267,0.004389,1053.48
cghmc,165.57,1346.063,47.343,1393.406,0.000335,0.002936,0.000335,80.35
chartercare,14.54,633.196,1139.905,1773.101,2.90E-05,0.003736,2.90E-05,7.06
childrensal,169.79,45.183,141.215,186.398,0.000343,0.000393,0.000343,82.4
childrensmn,24.47,395.766,11.164,406.929,4.90E-05,0.000857,4.90E-05,11.87
childrensomaha,666.85,38.824,161.765,200.589,0.001348,0.000423,0.001348,323.61
chla,316.91,1186.105,179.448,1365.553,0.000641,0.002877,0.000641,153.79
chnct,5.43,1093.898,1.472,1095.37,1.10E-05,0.002308,1.10E-05,2.64
chop,2856.96,1229.574,1372.717,2602.291,0.005777,0.005483,0.005777,1386.42
